divisao_cnae,divisao_descricao,area_senai,peso_afinidade,n_classes_cni
02,PRODUÇÃO FLORESTAL,15 - Madeira e mobiliário,1.0,2
05,EXTRAÇÃO DE CARVÃO MINERAL,36 - Mineração,1.0,1
06,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,47 - Petróleo e Gás,1.0,1
07,EXTRAÇÃO DE MINERAIS METÁLICOS,36 - Mineração,1.0,7
08,EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,36 - Mineração,1.0,5
09,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,36 - Mineração,1.0,2
10,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,2 - Alimentos e bebidas,1.0,31
11,FABRICAÇÃO DE BEBIDAS,2 - Alimentos e bebidas,1.0,5
12,FABRICAÇÃO DE PRODUTOS DO FUMO,2 - Alimentos e bebidas,0.6,2
13,FABRICAÇÃO DE PRODUTOS TÊXTEIS,23 - Têxtil e vestuário,1.0,14
14,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,25 - Vestuário,1.0,6
14,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,23 - Têxtil e vestuário,0.6,6
15,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",25 - Vestuário,0.6,8
16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,15 - Madeira e mobiliário,1.0,5
17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",15 - Madeira e mobiliário,0.6,9
18,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,61 - TI - Software,0.6,6
19,"FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",47 - Petróleo e Gás,1.0,5
19,"FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",19 - Química,0.6,5
20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,19 - Química,1.0,25
20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,44 - Polímeros,0.6,25
21,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS,19 - Química,1.0,4
22,FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,44 - Polímeros,1.0,7
23,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,49 - Construção Civil - Edificações,0.6,11
23,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,36 - Mineração,0.6,11
24,METALURGIA,17 - Metalmecânica,1.0,14
24,METALURGIA,59 - Metalmecânica - Soldagem,0.6,14
25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",17 - Metalmecânica,1.0,16
25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",57 - Metalmecânica - Mecânica,1.0,16
25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",59 - Metalmecânica - Soldagem,0.6,16
25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",56 - Metalmecânica - Fabricação Mecânica,0.6,16
26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",35 - Eletroeletrônica,1.0,10
