CNPJ,RazaoSocial_relacionamento,COBERTURA,Porte_relacionamento,CNAE_relacionamento,razao_social_receita,situacao_cadastral,data_situacao_cadastral,municipio_receita,uf_receita,cnae_fiscal_codigo,cnae_fiscal_descricao,erro,classificacao,divisao,e_industria_transformacao
961032000153,Multbox Esquadrias De Aluminio Ltda,SESI,3.Pequena,Fabricação de esquadrias de metal,MULTBOX ESQUADRIAS DE ALUMINIO LTDA,ATIVA,2005-11-03,ARAPIRACA,AL,2512800.0,Fabricação de esquadrias de metal,,ATIVA_AL,25,True
12312799000211,Panificacao Jaragua Ltda,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,PANIFICACAO JARAGUA LTDA,ATIVA,2026-05-08,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL,10,True
36329165000159,G Moveis Ltda,SESI,4.Micro,Fabricação de móveis com predominância de metal,G MOVEIS LTDA,ATIVA,2020-02-11,MACEIO,AL,3102100.0,Fabricação de móveis com predominância de metal,,ATIVA_AL,31,True
65080391000147,M J Panificacao Ltda,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,M J PANIFICACAO LTDA,ATIVA,2026-02-11,SAO MIGUEL DOS CAMPOS,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL,10,True
66745231000132,Panificacao A Casa Portuguesa Pao E Mais Ltda,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,PANIFICACAO A CASA PORTUGUESA PAO E MAIS LTDA,ATIVA,2026-05-12,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL,10,True
66799281000100,Dfs Comercio E Industria Ltda,SESI,3.Pequena,Fabricação de gelo comum,DFS COMERCIO E INDUSTRIA LTDA,ATIVA,2026-05-11,MACEIO,AL,1099604.0,Fabricação de gelo comum,,ATIVA_AL,10,True
68362521000122,Alagoas Rendering Ltda,SESI,3.Pequena,Preparação de subprodutos do abate,ALAGOAS RENDERING LTDA,ATIVA,2026-08-03,SANTA LUZIA DO NORTE,AL,1013902.0,Preparação de subprodutos do abate,,ATIVA_AL,10,True
68409605000174,Paraty Ltda,SESI,2.Média,Fabricação de azulejos e pisos,PARATY LTDA,ATIVA,2026-08-05,MARECHAL DEODORO,AL,2342701.0,Fabricação de azulejos e pisos,,ATIVA_AL,23,True
12312799000211,Panificacao Jaragua Ltda,SENAI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,PANIFICACAO JARAGUA LTDA,ATIVA,2026-05-08,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL,10,True
61082316000245,Vip Sports Group Industria E Comercio Ltda,SENAI,4.Micro,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",VIP SPORTS GROUP INDUSTRIA E COMERCIO LTDA,ATIVA,2026-01-13,MACEIO,AL,1412601.0,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",,ATIVA_AL,14,True
