CNPJ,RazaoSocial_relacionamento,COBERTURA,Porte_relacionamento,CNAE_relacionamento,razao_social_receita,situacao_cadastral,data_situacao_cadastral,municipio_receita,uf_receita,cnae_fiscal_codigo,cnae_fiscal_descricao,erro,classificacao
361941000150,Albuquerque Engenharia Ltda,SESI,2.Média,Construção de edifícios,ALBUQUERQUE ENGENHARIA LTDA,ATIVA,2005-11-03,RECIFE,PE,4120400.0,Construção de edifícios,,ATIVA_OUTRA_UF
598187000177,Inove Engenharia Termica Ltda,SESI,3.Pequena,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",INOVE ENGENHARIA TERMICA LTDA,ATIVA,2001-03-23,SALVADOR,BA,4322302.0,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",,ATIVA_OUTRA_UF
930087000104,Prener Engenharia Ltda,SESI,3.Pequena,Construção de estações e redes de distribuição de energia elétrica,PRENER ENERGIA E INFRAESTRUTURA LTDA,ATIVA,2018-12-06,JOAO PESSOA,PB,4221902.0,Construção de estações e redes de distribuição de energia elétrica,,ATIVA_OUTRA_UF
961032000153,Multbox Esquadrias De Aluminio Ltda,SESI,3.Pequena,Fabricação de esquadrias de metal,MULTBOX ESQUADRIAS DE ALUMINIO LTDA,ATIVA,2005-11-03,ARAPIRACA,AL,2512800.0,Fabricação de esquadrias de metal,,ATIVA_AL
1528374000147,Engie Solucoes De Operacao E Manutencao Ltda.,SESI,1.Grande,Serviços de engenharia,ENGIE SOLUCOES DE OPERACAO E MANUTENCAO LTDA.,ATIVA,1999-12-24,RIO DE JANEIRO,RJ,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
1637895000132,Votorantim Cimentos S.a.,SESI,1.Grande,Fabricação de cimento,VOTORANTIM CIMENTOS S.A.,ATIVA,2000-04-03,SAO PAULO,SP,2320600.0,Fabricação de cimento,,ATIVA_OUTRA_UF
1899414000167,Mecbrun-industria E Comercio Ltda,SESI,3.Pequena,Fabricação de obras de caldeiraria pesada,MECBRUN INDUSTRIA E COMERCIO LTDA,ATIVA,2005-11-03,PEDRO LEOPOLDO,MG,2513600.0,Fabricação de obras de caldeiraria pesada,,ATIVA_OUTRA_UF
2867678000100,Nip Global Ltda,SESI,2.Média,Serviços de engenharia,NIP GLOBAL LTDA,ATIVA,2001-02-25,VITORIA,ES,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
3396460000179,Industria Parisom Ltda,SESI,4.Micro,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",INDUSTRIA PARISOM LTDA,INAPTA,2026-05-26,MACEIO,AL,1521100.0,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",,NAO_ATIVA
3746272000123,Sian Engenharia Ltda,SESI,3.Pequena,Construção de edifícios,SIAN ENGENHARIA LTDA,ATIVA,,SALVADOR,BA,4120400.0,Construção de edifícios,,ATIVA_OUTRA_UF
