cnpj,situacao_atual,razao_social,SETOR,CNAE PRIMARIO,Porte,Municipio,SESI,SENAI,CNPJ_NORMALIZADO,CNAE_DIVISAO,EH_INDUSTRIA,CNPJ_BASICO,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,SEBRAE_cnpj,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE,SEBRAE_ELEGIVEL,SEBRAE_OPORTUNIDADE_ORIGINAL,STATUS_SEBRAE,SEBRAE_OPORTUNIDADE,OPORTUNIDADE_SEBRAE,OPORTUNIDADE_SESI,OPORTUNIDADE_SENAI,OPORTUNIDADE_GERAL,OPORTUNIDADE_CROSS_SELL
54063850000168,ATIVA,54.063.850 TIAGO DA SILVA,INDÚSTRIA,"Atividades relacionadas a esgoto, exceto a gestao de redes",MICRO EMPRESA,Murici,,,54063850000168,0,True,54063850,False,False,False,SEM RELACIONAMENTO,54063850000168.0,ATIVA,54.063.850 TIAGO DA SILVA,INDÚSTRIA,"Atividades relacionadas a esgoto, exceto a gestao de redes",MICRO EMPRESA,Murici,,,3702-9/00,3702900.0,37.0,E,"Agua, esgoto e residuos",Esgoto e atividades relacionadas,True,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
42765709000128,ATIVA,MARCIO SANTOS DA CUNHA,INDÚSTRIA,Servicos de manutencao e reparacao mecanica de veiculos automotores,MICRO EMPRESA,Major Isidoro,,,42765709000128,10,True,42765709,False,False,False,SEM RELACIONAMENTO,42765709000128.0,ATIVA,MARCIO SANTOS DA CUNHA,INDÚSTRIA,Servicos de manutencao e reparacao mecanica de veiculos automotores,MICRO EMPRESA,Major Isidoro,,,4520-0/01,4520001.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
24470149000100,ATIVA,PADARIA OLIVEIRA PINDOBA LTDA,INDÚSTRIA,Fabricacao de massas alimenticias,MICRO EMPRESA,Pindoba,,,24470149000100,10,True,24470149,False,False,False,SEM RELACIONAMENTO,24470149000100.0,ATIVA,PADARIA OLIVEIRA PINDOBA LTDA,INDÚSTRIA,Fabricacao de massas alimenticias,MICRO EMPRESA,Pindoba,,,1094-5/00,1094500.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
62091189000122,ATIVA,A S LTDA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Murici,,,62091189000122,0,True,62091189,False,False,False,SEM RELACIONAMENTO,62091189000122.0,ATIVA,A S LTDA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Murici,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
58360318000163,ATIVA,M E LIMA VITAL,INDÚSTRIA,Fabricacao de farinha de mandioca e derivados,MICRO EMPRESA,Junqueiro,,,58360318000163,10,True,58360318,False,False,False,SEM RELACIONAMENTO,58360318000163.0,ATIVA,M E LIMA VITAL,INDÚSTRIA,Fabricacao de farinha de mandioca e derivados,MICRO EMPRESA,Junqueiro,,,1063-5/00,1063500.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
56056889000183,ATIVA,M S S SEGUNDO ENGENHARIA LTDA,INDÚSTRIA,Servicos de engenharia,MICRO EMPRESA,Maravilha,,,56056889000183,0,True,56056889,False,False,False,SEM RELACIONAMENTO,56056889000183.0,ATIVA,M S S SEGUNDO ENGENHARIA LTDA,INDÚSTRIA,Servicos de engenharia,MICRO EMPRESA,Maravilha,,,7112-0/00,7112000.0,71.0,M,Atividades profissionais e tecnicas,Atividades profissionais e tecnicas,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
18526710000115,ATIVA,EDVALDO PEDRO DA SILVA SANTOS,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Paripueira,,,18526710000115,0,True,18526710,False,False,False,SEM RELACIONAMENTO,18526710000115.0,ATIVA,EDVALDO PEDRO DA SILVA SANTOS,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Paripueira,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
46936322000148,ATIVA,A L ELETRICA LTDA,INDÚSTRIA,Instalacao e manutencao eletrica,MICRO EMPRESA,Matriz de Camaragibe,,,46936322000148,0,True,46936322,False,False,False,SEM RELACIONAMENTO,46936322000148.0,ATIVA,A L ELETRICA LTDA,INDÚSTRIA,Instalacao e manutencao eletrica,MICRO EMPRESA,Matriz de Camaragibe,,,4321-5/00,4321500.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
42835638000192,ATIVA,RONALDO VASCONCELOS JUNIOR,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Igreja Nova,,,42835638000192,0,True,42835638,False,False,False,SEM RELACIONAMENTO,42835638000192.0,ATIVA,RONALDO VASCONCELOS JUNIOR,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Igreja Nova,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
28639977000172,ATIVA,E O DOS SANTOS COMERCIO,INDÚSTRIA,Manutencao e reparacao de motocicletas e motonetas,MICRO EMPRESA,Traipu,,,28639977000172,10,True,28639977,False,False,False,SEM RELACIONAMENTO,28639977000172.0,ATIVA,E O DOS SANTOS COMERCIO,INDÚSTRIA,Manutencao e reparacao de motocicletas e motonetas,MICRO EMPRESA,Traipu,,,4543-9/00,4543900.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
