CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE
00290431000130,Servicos E Pecas Diesel Arapiraca Ltda,Industria,4.Micro,Serviços de manutenção e reparação mecânica de veículos automotores,Proposta,False,True,False,SOMENTE SENAI,1
00321975000111,Araforros Ind E Comercio De Perfilados Ltda Em Recuperacao Judicial,Industria | Indústria,2.Média,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Migração | Proposta,True,True,True,SESI + SENAI,2
00360305000104,Caixa Economica Federal,Nao Industria,4.Micro,Caixas econômicas,Proposta,False,True,False,SOMENTE SENAI,1
00421822000146,Kinata Sorvetes Ltda.,Industria | Indústria,3.Pequena,Fabricação de sorvetes e outros gelados comestíveis,Proposta,True,True,True,SESI + SENAI,2
00469393000187,Valmar Servicos Industriais Ltda,Industria,2.Média,Serviços de engenharia,Proposta,False,True,False,SOMENTE SENAI,1
00482915000180,Dorgival Jose Da Silva,Industria | Indústria,4.Micro,Serrarias com desdobramento de madeira em bruto,Migração | Proposta,True,True,True,SESI + SENAI,2
00741946000109,Mineracao Costa Dourada Ltda,Industria | Indústria,3.Pequena,Fabricação de águas envasadas,Migração | Proposta,True,True,True,SESI + SENAI,2
00874154000102,M A Ferreira Veiga,Industria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA,Proposta,False,True,False,SOMENTE SENAI,1
00887925000104,Grafmarques Industria Editora E Servicos Ltda,Industria,4.Micro,"Impressão de livros, revistas e outras publicações periódicas",Migração,False,True,False,SOMENTE SENAI,1
01129810000105,Fundo Municipal De Educacao,Nao Industria | Não Indústria,4.Micro,Atividades de associações de defesa de direitos sociais,Migração | Proposta,True,True,True,SESI + SENAI,2
01177442000170,Avante Energia E Servicos Ltda,Nao Industria,4.Micro,Outras atividades de prestação de serviços de informação não especificadas anteriormente,Proposta,False,True,False,SOMENTE SENAI,1
01285165000462,O Borrachao Ltda,Nao Industria,4.Micro,Comércio varejista de outros produtos não especificados anteriormente,Migração,False,True,False,SOMENTE SENAI,1
01336881000189,Armario Quarto E Cozinha Ind. E Com. Ltda,Industria | Indústria,4.Micro,Fabricação de móveis com predominância de madeira,Migração | Proposta,True,True,True,SESI + SENAI,2
01413951000155,Ferplas Industria De Artefatos De Arame Ltda,Industria,3.Pequena,Fabricação de outros produtos de metal não especificados anteriormente,Proposta,False,True,False,SOMENTE SENAI,1
01551272002005,Asa Industria E Comercio Ltda,Nao Industria,3.Pequena,Comércio atacadista de produtos alimentícios em geral,Proposta,False,True,False,SOMENTE SENAI,1
01637593000164,Enord Engenharia Ltda,Industria | Indústria,1.Grande,Construção de edifícios,Migração,True,True,True,SESI + SENAI,2
01788792000173,Carmem Lucia De Souza Feitosa,Industria | Indústria,4.Micro,"Fabricação de móveis de outros materiais, exceto madeira e metal",Migração | Proposta,True,True,True,SESI + SENAI,2
