CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE
00290431000130,Servicos E Pecas Diesel Arapiraca Ltda,Industria,4.Micro,Serviços de manutenção e reparação mecânica de veículos automotores,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,SERVICOS E PECAS DIESEL ARAPIRACA LTDA,INDÚSTRIA,Servicos de manutencao e reparacao mecanica de veiculos automotores,MICRO EMPRESA,Arapiraca,,290431000130.0,4520-0/01,4520001.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True
00321975000111,Araforros Ind E Comercio De Perfilados Ltda Em Recuperacao Judicial,Industria | Indústria,2.Média,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,ARAFORROS IND E COMERCIO DE PERFILADOS LTDA EM RECUPERACAO JUDICIAL,INDÚSTRIA,"Fabricacao de artefatos de material plastico para uso na construcao, exceto tubos e acessorios",DEMAIS,Arapiraca,321975000111.0,321975000111.0,2229-3/03,2229303.0,22.0,C,Industria de transformacao,Borracha e material plastico,True,False,SIM,NÃO ATENDIDA,True
00390664000104,Oiticica Industrial E Comercial Ltda,Indústria,3.Pequena,Fabricação de águas envasadas,Migração,True,False,False,SOMENTE SESI,1,ATIVA,OITICICA INDUSTRIAL E COMERCIAL LTDA,INDÚSTRIA,Fabricacao de aguas envasadas,DEMAIS,Rio Largo,390664000104.0,390664000104.0,1121-6/00,1121600.0,11.0,C,Industria de transformacao,Bebidas,True,False,SIM,NÃO ATENDIDA,True
00421822000146,Kinata Sorvetes Ltda.,Industria | Indústria,3.Pequena,Fabricação de sorvetes e outros gelados comestíveis,Proposta,True,True,True,SESI + SENAI,2,ATIVA,KINATA SORVETES LTDA.,INDÚSTRIA,Fabricacao de sorvetes e outros gelados comestiveis,MICRO EMPRESA,Rio Largo,421822000146.0,421822000146.0,1053-8/00,1053800.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
00469393000187,Valmar Servicos Industriais Ltda,Industria,2.Média,Serviços de engenharia,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,VALMAR SERVICOS INDUSTRIAIS LTDA,INDÚSTRIA,Servicos de engenharia,DEMAIS,Maceió,,469393000187.0,7112-0/00,7112000.0,71.0,M,Atividades profissionais e tecnicas,Atividades profissionais e tecnicas,False,False,NAO,FORA DO ESCOPO SEBRAE,True
00482915000180,Dorgival Jose Da Silva,Industria | Indústria,4.Micro,Serrarias com desdobramento de madeira em bruto,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,DORGIVAL JOSE DA SILVA,INDÚSTRIA,Serrarias com desdobramento de madeira em bruto,MICRO EMPRESA,Murici,482915000180.0,482915000180.0,1610-2/03,1610203.0,16.0,C,Industria de transformacao,Produtos de madeira,True,False,SIM,NÃO ATENDIDA,True
00554672000149,Vera Comercio E Confeccoes Ltda,Indústria,4.Micro,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Migração,True,False,False,SOMENTE SESI,1,ATIVA,VERA COMERCIO E CONFECCOES LTDA,INDÚSTRIA,"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",MICRO EMPRESA,Maceió,554672000149.0,,1412-6/01,1412601.0,14.0,C,Industria de transformacao,Confeccao de vestuario e acessorios,True,False,SIM,NÃO ATENDIDA,True
00562968000101,Britex Mineracoes Ltda,Indústria,3.Pequena,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Migração,True,False,False,SOMENTE SESI,1,ATIVA,BRITEX MINERACOES LTDA,INDÚSTRIA,Extracao e britamento de pedras e outros materiais para construcao e beneficiamento associado,DEMAIS,Rio Largo,562968000101.0,,0810-0/99,810099.0,8.0,B,Industria extrativa,Extracao de minerais nao-metalicos,True,False,SIM,NÃO ATENDIDA,True
00682642000118,Ilumina Instalacoes Ltda,Indústria,3.Pequena,Instalação e manutenção elétrica,Migração,True,False,False,SOMENTE SESI,1,ATIVA,ILUMINA INSTALACOES LTDA,INDÚSTRIA,Instalacao e manutencao eletrica,PEQUENO PORTE,Maceió,682642000118.0,,4321-5/00,4321500.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True
00692703000128,Habitar Investimentos E Incorporacoes Ltda,Indústria,4.Micro,Construção de edifícios,Migração,True,False,False,SOMENTE SESI,1,ATIVA,HABITAR INVESTIMENTOS E INCORPORACOES LTDA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Maceió,692703000128.0,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
00719380000119,It Telecomunicacoes Ltda,Indústria,4.Micro,Provedores de acesso às redes de comunicações,Migração,True,False,False,SOMENTE SESI,1,ATIVA,IT TELECOMUNICACOES LTDA,INDÚSTRIA,Provedores de acesso as redes de comunicacoes,MICRO EMPRESA,Maceió,719380000119.0,,6190-6/01,6190601.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
00741946000109,Mineracao Costa Dourada Ltda,Industria | Indústria,3.Pequena,Fabricação de águas envasadas,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,MINERACAO COSTA DOURADA LTDA,INDÚSTRIA,Fabricacao de aguas envasadas,MICRO EMPRESA,Maragogi,741946000109.0,741946000109.0,1121-6/00,1121600.0,11.0,C,Industria de transformacao,Bebidas,True,False,SIM,NÃO ATENDIDA,True
00771260000160,B Silva & Cia Ltda,Indústria,4.Micro,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",Migração,True,False,False,SOMENTE SESI,1,ATIVA,B SILVA & CIA LTDA,INDÚSTRIA,"Fabricacao de artigos para viagem, bolsas e semelhantes de qualquer material",MICRO EMPRESA,Maceió,771260000160.0,,1521-1/00,1521100.0,15.0,C,Industria de transformacao,"Couros, artefatos e calcados",True,False,SIM,NÃO ATENDIDA,True
00773296000183,Map Gelo Ltda,Indústria,4.Micro,Fabricação de gelo comum,Migração,True,False,False,SOMENTE SESI,1,ATIVA,MAP GELO LTDA,INDÚSTRIA,Fabricacao de gelo comum,MICRO EMPRESA,Arapiraca,773296000183.0,,1099-6/04,1099604.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
