Municipio,EMPRESAS,CLIENTES_SESI,CLIENTES_SENAI,SEM_RELACIONAMENTO,OPORTUNIDADE_SEBRAE
Maceió,16215,345,194,15754,12913
Arapiraca,3362,93,32,3257,2615
Rio Largo,1030,17,10,1009,807
Penedo,913,4,2,908,495
Marechal Deodoro,862,21,19,832,752
União dos Palmares,575,1,1,574,391
São Miguel dos Campos,525,15,7,507,415
Palmeira dos Índios,462,12,0,450,356
Coruripe,451,1,1,449,351
Pilar,442,7,5,431,355
Delmiro Gouveia,416,5,3,410,325
Satuba,318,1,0,317,256
Teotônio Vilela,304,4,2,300,236
Santana do Ipanema,293,6,5,283,229
Campo Alegre,287,2,1,284,240
Maragogi,286,3,4,281,239
Viçosa,215,0,1,214,165
Atalaia,210,1,1,208,177
São José da Laje,208,0,0,208,147
Barra de São Miguel,185,2,1,182,137
Porto Calvo,185,3,0,182,141
Paripueira,183,2,1,180,164
Murici,175,7,2,167,140
Boca da Mata,162,2,1,160,136
Olho d'Água das Flores,157,1,0,156,109
São Luís do Quitunde,154,1,1,153,122
São Sebastião,152,0,0,152,116
Porto de Pedras,146,1,0,145,128
Matriz de Camaragibe,140,4,3,135,118
São Miguel dos Milagres,139,0,0,139,113
Piranhas,135,0,0,135,99
Girau do Ponciano,135,2,1,132,108
Junqueiro,135,0,0,135,114
Messias,129,0,1,128,88
Passo de Camaragibe,124,1,0,123,119
São José da Tapera,120,1,2,117,78
Barra de Santo Antônio,114,2,0,112,96
Limoeiro de Anadia,112,3,2,108,96
Taquarana,108,2,0,106,79
Pão de Açúcar,105,1,1,104,87
Craíbas,103,4,2,98,76
Batalha,98,2,1,95,73
Maribondo,97,1,0,96,78
Cajueiro,95,1,1,93,75
Capela,93,1,1,91,81
Colônia Leopoldina,91,0,0,91,70
Quebrangulo,77,2,0,75,61
Joaquim Gomes,77,1,0,76,53
Major Isidoro,72,6,1,66,59
Santa Luzia do Norte,72,1,0,71,65
Feira Grande,72,0,1,71,55
Jequiá da Praia,61,0,0,61,52
Anadia,60,2,0,58,46
Flexeiras,60,0,0,60,45
Lagoa da Canoa,60,2,0,58,44
Ibateguara,59,0,0,59,45
Água Branca,57,1,0,56,43
Japaratinga,57,0,0,57,48
Igreja Nova,56,1,1,55,46
Piaçabuçu,55,2,1,53,47
Igaci,53,1,1,51,38
Porto Real do Colégio,52,0,0,52,39
Ouro Branco,50,0,0,50,38
Coqueiro Seco,49,0,0,49,41
Coité do Nóia,45,1,0,44,37
Novo Lino,44,0,0,44,33
Cacimbinhas,39,2,0,37,29
Santana do Mundaú,37,0,0,37,26
Inhapi,34,0,0,34,26
Campestre,32,0,0,32,24
Traipu,31,0,0,31,22
Campo Grande,31,0,0,31,21
Mata Grande,30,0,0,30,19
Jacuípe,29,0,0,29,25
Chã Preta,27,0,1,26,20
Olivença,27,1,1,26,19
Feliz Deserto,27,1,0,26,24
Senador Rui Palmeira,26,0,0,26,17
Estrela de Alagoas,25,0,0,25,19
Paulo Jacinto,24,0,0,24,20
Pariconha,24,0,0,24,18
Branquinha,23,0,0,23,10
Carneiros,23,0,0,23,20
Monteirópolis,21,1,1,20,17
Poço das Trincheiras,21,0,0,21,17
São Brás,21,0,0,21,18
Tanque d'Arca,21,0,0,21,16
Olho d'Água do Casado,19,0,0,19,11
Canapi,19,0,0,19,14
Dois Riachos,18,0,0,18,13
Jundiá,18,0,0,18,11
Roteiro,18,0,0,18,15
Belém,17,0,0,17,15
Maravilha,16,0,0,16,11
Jacaré dos Homens,16,0,0,16,14
Palestina,16,0,0,16,13
Mar Vermelho,15,0,0,15,11
Jaramataia,14,1,0,13,10
Minador do Negrão,13,0,0,13,6
Belo Monte,11,1,0,10,8
Pindoba,6,0,0,6,5
MACEIO,5,4,2,0,0
Olho d'Água Grande,3,0,0,3,0
ARAPIRACA,1,1,0,0,0
MARECHAL DEODORO,1,1,0,0,0
SAO MIGUEL DOS CAMPOS,1,1,0,0,0
SANTA LUZIA DO NORTE,1,1,0,0,0
