CNAE,STATUS_RELACIONAMENTO,QUANTIDADE
Construção de edifícios,SOMENTE SENAI,44
FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,SOMENTE SESI,42
Restaurantes e similares,SOMENTE SESI,40
Serviços de comunicação multimídia - SCM,SOMENTE SESI,29
Construção de edifícios,SOMENTE SESI,29
Hotéis,SOMENTE SESI,19
Incorporação de empreendimentos imobiliários,SOMENTE SENAI,19
"Lanchonetes, casas de chá, de sucos e similares",SOMENTE SESI,18
Instalação e manutenção elétrica,SOMENTE SESI,17
Comércio a varejo de peças e acessórios novos para veículos automotores,SOMENTE SESI,17
Construção de edifícios,SESI + SENAI,16
Incorporação de empreendimentos imobiliários,SOMENTE SESI,16
Serviços combinados de escritório e apoio administrativo,SOMENTE SESI,16
"Lanchonetes, casas de chá, de sucos e similares",SOMENTE SENAI,16
Administração pública em geral,SOMENTE SENAI,14
Serviços de manutenção e reparação mecânica de veículos automotores,SOMENTE SESI,14
Serviços de engenharia,SOMENTE SESI,13
Outras atividades de ensino não especificadas anteriormente,SOMENTE SESI,13
Gestão e administração da propriedade imobiliária,SOMENTE SESI,13
Fabricação de laticínios,SOMENTE SESI,12
Ensino fundamental,SOMENTE SESI,12
Comércio varejista de materiais de construção em geral,SOMENTE SESI,12
Provedores de acesso às redes de comunicações,SOMENTE SESI,12
Condomínios prediais,SOMENTE SESI,12
Atividade médica ambulatorial restrita a consultas,SOMENTE SESI,12
Fornecimento de alimentos preparados preponderantemente para empresas,SOMENTE SESI,11
Atividades de associações de defesa de direitos sociais,SOMENTE SESI,10
Promoção de vendas,SOMENTE SESI,9
FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,SESI + SENAI,9
"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",SOMENTE SESI,9
Construção de rodovias e ferrovias,SOMENTE SENAI,9
Comércio atacadista de produtos alimentícios em geral,SOMENTE SESI,9
Instalação e manutenção elétrica,SOMENTE SENAI,9
Impressão de material para outros usos,SOMENTE SESI,9
"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",SOMENTE SESI,8
Comercio varejista de artigos de armarinho,SOMENTE SESI,8
Incorporação de empreendimentos imobiliários,SESI + SENAI,8
Comércio varejista de artigos do vestuário e acessórios,SOMENTE SESI,8
"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",SOMENTE SESI,8
Comércio varejista de ferragens e ferramentas,SOMENTE SESI,8
Fabricação de esquadrias de metal,SOMENTE SESI,8
"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",SOMENTE SESI,8
"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",SOMENTE SESI,8
FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA,SOMENTE SESI,8
Atividade médica ambulatorial com recursos para realização de exames complementares,SOMENTE SESI,8
Fabricação de embalagens de material plástico,SOMENTE SESI,7
"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",SOMENTE SESI,7
Serviços de assistência social sem alojamento,SOMENTE SESI,7
Fabricação de biscoitos e bolachas,SOMENTE SESI,7
