cnpj_basico,opcao_simples,data_opcao_simples,data_exclusao_simples,opcao_mei,data_opcao_mei,data_exclusao_mei
00093472,S,20260101,20261231,N,00000000,00000000
00217694,S,20210101,20261231,N,00000000,00000000
00217704,N,20170101,20250831,N,00000000,00000000
00217746,S,20200101,00000000,N,00000000,00000000
00262328,S,20250101,00000000,N,00000000,00000000
00269914,S,20150101,20261231,N,00000000,00000000
00276467,S,20210101,00000000,N,00000000,00000000
00284956,S,20210101,00000000,N,00000000,00000000
00290431,S,20260101,00000000,N,00000000,00000000
00312779,N,20070701,20191231,N,00000000,00000000
00364397,S,20260101,00000000,N,00000000,00000000
00396877,S,20070701,00000000,N,00000000,00000000
00421822,S,20240101,00000000,N,00000000,00000000
00445588,S,20250101,00000000,N,00000000,00000000
00467980,S,20240101,20261231,N,00000000,00000000
00482915,S,20100101,00000000,N,00000000,00000000
00483144,N,20150101,20161231,N,00000000,00000000
00503967,N,20200101,20231231,N,00000000,00000000
00526102,N,20070701,20070701,N,00000000,00000000
00552496,S,20070701,00000000,N,00000000,00000000
00554672,N,20250101,20251231,N,00000000,00000000
00564722,S,20230101,00000000,N,00000000,00000000
00578339,N,20070701,20091231,N,00000000,00000000
00587313,S,20250101,00000000,S,20250101,00000000
00587330,N,20220101,20231231,N,00000000,00000000
00596293,S,20200101,00000000,N,00000000,00000000
00602622,N,20120101,20130831,N,00000000,00000000
00618015,S,20090101,00000000,N,00000000,00000000
00683521,S,20260101,20261231,N,00000000,00000000
00692717,S,20070701,00000000,N,00000000,00000000
00696467,S,20240101,00000000,N,00000000,00000000
00698474,N,20240101,20241231,N,00000000,00000000
00712039,N,20200101,20211231,N,00000000,00000000
00719339,S,20070701,00000000,N,00000000,00000000
00719380,S,20130101,00000000,N,00000000,00000000
00741946,S,20240101,00000000,N,00000000,00000000
00771260,S,20170101,00000000,N,00000000,00000000
00773296,S,20070701,00000000,N,00000000,00000000
00785086,S,20260101,00000000,N,00000000,00000000
00796655,S,20170101,00000000,N,00000000,00000000
00807216,S,20070701,00000000,N,00000000,00000000
00818307,S,20070701,00000000,N,00000000,00000000
00823434,N,20120101,20211231,N,00000000,00000000
00856122,N,20070701,20101231,N,00000000,00000000
00858237,N,20070701,20231231,N,00000000,00000000
00874154,S,20190101,00000000,N,00000000,00000000
00887925,N,20070701,20071231,N,00000000,00000000
00901816,S,20220101,00000000,N,00000000,00000000
00901821,S,20210101,00000000,N,00000000,00000000
00947552,S,20240101,00000000,N,00000000,00000000
00961032,S,20240101,20261231,N,00000000,00000000
01030003,S,20250101,00000000,N,00000000,00000000
01047957,S,20260101,20261231,N,00000000,00000000
01050234,S,20250101,00000000,N,00000000,00000000
01050964,N,20070701,20231231,N,00000000,00000000
01084940,S,20150101,20261231,N,00000000,00000000
01096570,S,20260101,20261231,N,00000000,00000000
01123669,S,20070701,20261231,N,00000000,00000000
01162058,S,20140101,20261231,N,00000000,00000000
01163003,S,20170101,00000000,N,00000000,00000000
01171898,N,20070701,20241231,N,00000000,00000000
01217954,S,20070701,00000000,N,00000000,00000000
01232050,S,20170101,00000000,N,00000000,00000000
01232077,S,20220101,00000000,N,00000000,00000000
01234329,S,20180101,00000000,N,00000000,00000000
01243011,N,20240101,20251231,N,00000000,00000000
01287917,S,20240101,00000000,N,00000000,00000000
01301040,S,20190101,00000000,N,00000000,00000000
01319965,N,20240101,20250930,N,00000000,00000000
01333771,S,20260101,20261231,N,00000000,00000000
01333967,S,20260101,20261231,N,00000000,00000000
01336881,S,20070701,20261231,N,00000000,00000000
01343753,S,20070701,00000000,N,00000000,00000000
01346299,N,20070701,20111231,N,00000000,00000000
01357555,S,20250101,00000000,N,00000000,00000000
01362945,S,20250101,00000000,N,00000000,00000000
01372327,S,20260101,00000000,N,00000000,00000000
01393084,S,20110101,00000000,N,00000000,00000000
01459263,S,20070701,20261231,N,00000000,00000000
01493804,S,20260101,00000000,N,00000000,00000000
01537735,S,20070701,00000000,N,00000000,00000000
01543238,S,20190101,00000000,N,00000000,00000000
01551622,N,20070701,20071231,N,00000000,00000000
01559704,S,20170101,20261231,N,00000000,00000000
01574916,N,20070701,20231231,N,00000000,00000000
01584452,N,20250101,20251231,N,00000000,00000000
01588911,S,20130101,00000000,N,00000000,00000000
01596670,N,20070701,20241031,N,00000000,00000000
01611866,N,20070701,20130430,N,00000000,00000000
01615884,S,20250101,20261231,N,00000000,00000000
01672670,S,20260101,20261231,N,00000000,00000000
01722703,N,20070701,20081231,N,00000000,00000000
01728967,S,20070701,00000000,N,00000000,00000000
01747218,N,20080101,20091231,N,00000000,00000000
01752067,S,20070701,00000000,N,00000000,00000000
01758073,N,20090101,20121231,N,00000000,00000000
01762875,N,20070701,20091231,N,00000000,00000000
01774021,N,20200101,20221231,N,00000000,00000000
01788274,S,20240101,00000000,N,00000000,00000000
01788792,S,20260101,20261231,N,00000000,00000000
01890849,S,20260101,00000000,N,20190101,20231231
01900127,N,20230101,20241231,N,00000000,00000000
01904982,S,20240101,00000000,N,00000000,00000000
01913412,S,20240101,20261231,N,00000000,00000000
01954187,N,20090101,20231231,N,00000000,00000000
01980839,S,20250101,20261231,N,00000000,00000000
02009037,N,20180101,20251231,N,00000000,00000000
