CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Obras de alvenaria,2549,1,0,0,1,2548,0.0392,0.0,0.0392,2548,2549,2548
Construcao de edificios,2302,42,52,15,79,2223,1.8245,2.2589,3.4318,2260,2250,2223
Instalacao e manutencao eletrica,2130,13,10,1,22,2108,0.6103,0.4695,1.0329,2117,2120,2108
Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,1834,44,15,8,51,1783,2.3991,0.8179,2.7808,1790,1819,1783
Servicos de manutencao e reparacao mecanica de veiculos automotores,1479,14,5,0,19,1460,0.9466,0.3381,1.2847,1465,1474,1460
Servicos de engenharia,1078,9,5,1,13,1065,0.8349,0.4638,1.2059,1069,1073,1065
"Instalacao e manutencao de sistemas centrais de ar condicionado, de ventilacao e refrigeracao",964,1,2,0,3,961,0.1037,0.2075,0.3112,963,962,961
Fabricacao de moveis com predominancia de madeira,946,12,9,6,15,931,1.2685,0.9514,1.5856,934,937,931
Incorporacao de empreendimentos imobiliarios,888,24,25,8,41,847,2.7027,2.8153,4.6171,864,863,847
"Confeccao, sob medida, de pecas do vestuario, exceto roupas intimas",843,4,2,2,4,839,0.4745,0.2372,0.4745,839,841,839
Servicos de pintura de edificios em geral,793,1,1,0,2,791,0.1261,0.1261,0.2522,792,792,791
Fabricacao de produtos diversos nao especificados anteriormente,738,0,0,0,0,738,0.0,0.0,0.0,738,738,738
"Fabricacao de artigos de serralheria, exceto esquadrias",638,0,0,0,0,638,0.0,0.0,0.0,638,638,638
Coleta de residuos nao perigosos,593,5,0,0,5,588,0.8432,0.0,0.8432,588,593,588
"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",575,8,2,1,9,566,1.3913,0.3478,1.5652,567,573,566
Manutencao e reparacao de motocicletas e motonetas,546,0,0,0,0,546,0.0,0.0,0.0,546,546,546
Fornecimento de alimentos preparados preponderantemente para empresas,544,11,3,1,13,531,2.0221,0.5515,2.3897,533,541,531
Servicos de lanternagem ou funilaria e pintura de veiculos automotores,534,5,0,0,5,529,0.9363,0.0,0.9363,529,534,529
Servicos de comunicacao multimidia - scm,402,29,2,1,30,372,7.2139,0.4975,7.4627,373,400,372
Fabricacao de produtos de panificacao industrial,396,10,2,1,11,385,2.5253,0.5051,2.7778,386,394,385
"Servicos de usinagem, tornearia e solda",350,1,2,1,2,348,0.2857,0.5714,0.5714,349,348,348
Servicos de montagem de moveis de qualquer material,339,0,0,0,0,339,0.0,0.0,0.0,339,339,339
"Servicos de instalacao, manutencao e reparacao de acessorios para veiculos automotores",314,5,0,0,5,309,1.5924,0.0,1.5924,309,314,309
Servicos de borracharia para veiculos automotores,305,1,0,0,1,304,0.3279,0.0,0.3279,304,305,304
Fabricacao de bijuterias e artefatos semelhantes,284,3,0,0,3,281,1.0563,0.0,1.0563,281,284,281
Outras atividades de telecomunicacoes nao especificadas anteriormente,280,0,1,0,1,279,0.0,0.3571,0.3571,280,279,279
Impressao de material para uso publicitario,270,5,3,2,6,264,1.8519,1.1111,2.2222,265,267,264
Fabricacao de outros produtos texteis nao especificados anteriormente,265,0,0,0,0,265,0.0,0.0,0.0,265,265,265
Impressao de material para outros usos,263,10,3,2,11,252,3.8023,1.1407,4.1825,253,260,252
Obras de acabamento em gesso e estuque,240,0,0,0,0,240,0.0,0.0,0.0,240,240,240
Manutencao e reparacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial,234,2,0,0,2,232,0.8547,0.0,0.8547,232,234,232
Servicos de manutencao e reparacao eletrica de veiculos automotores,230,0,0,0,0,230,0.0,0.0,0.0,230,230,230
Fabricacao de massas alimenticias,226,1,1,1,1,225,0.4425,0.4425,0.4425,225,225,225
"Fabricacao de produtos de pastas celulosicas, papel, cartolina, papel cartao e papelao ondulado nao especificados anteriormente",212,0,0,0,0,212,0.0,0.0,0.0,212,212,212
Outras obras de acabamento da construcao,205,1,1,1,1,204,0.4878,0.4878,0.4878,204,204,204
Instalacao de maquinas e equipamentos industriais,200,2,2,0,4,196,1.0,1.0,2.0,198,198,196
Servicos de pre impressao,196,0,0,0,0,196,0.0,0.0,0.0,196,196,196
Fabricacao de alimentos e pratos prontos,196,0,3,0,3,193,0.0,1.5306,1.5306,196,193,193
