Municipio,Porte,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Anadia,DEMAIS,5,1,0,0,1,4,20.0,0.0,20.0,4,5,4
Anadia,MICRO EMPRESA,48,0,0,0,0,48,0.0,0.0,0.0,48,48,48
Anadia,PEQUENO PORTE,7,1,0,0,1,6,14.2857,0.0,14.2857,6,7,6
Arapiraca,DEMAIS,160,19,9,6,22,138,11.875,5.625,13.75,141,151,138
Arapiraca,MICRO EMPRESA,2945,46,15,8,53,2892,1.562,0.5093,1.7997,2899,2930,2892
Arapiraca,PEQUENO PORTE,257,28,8,6,30,227,10.8949,3.1128,11.6732,229,249,227
Atalaia,DEMAIS,14,0,1,0,1,13,0.0,7.1429,7.1429,14,13,13
Atalaia,MICRO EMPRESA,169,0,0,0,0,169,0.0,0.0,0.0,169,169,169
Atalaia,PEQUENO PORTE,27,1,0,0,1,26,3.7037,0.0,3.7037,26,27,26
Barra de Santo Antônio,DEMAIS,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Barra de Santo Antônio,MICRO EMPRESA,97,2,0,0,2,95,2.0619,0.0,2.0619,95,97,95
Barra de Santo Antônio,PEQUENO PORTE,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
Barra de São Miguel,DEMAIS,28,0,1,0,1,27,0.0,3.5714,3.5714,28,27,27
Barra de São Miguel,MICRO EMPRESA,130,0,0,0,0,130,0.0,0.0,0.0,130,130,130
Barra de São Miguel,PEQUENO PORTE,27,2,0,0,2,25,7.4074,0.0,7.4074,25,27,25
Batalha,DEMAIS,10,0,1,0,1,9,0.0,10.0,10.0,10,9,9
Batalha,MICRO EMPRESA,78,1,0,0,1,77,1.2821,0.0,1.2821,77,78,77
Batalha,PEQUENO PORTE,10,1,0,0,1,9,10.0,0.0,10.0,9,10,9
Belo Monte,DEMAIS,5,1,0,0,1,4,20.0,0.0,20.0,4,5,4
Belo Monte,MICRO EMPRESA,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Belo Monte,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Belém,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Belém,MICRO EMPRESA,12,0,0,0,0,12,0.0,0.0,0.0,12,12,12
Belém,PEQUENO PORTE,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Boca da Mata,DEMAIS,10,1,0,0,1,9,10.0,0.0,10.0,9,10,9
Boca da Mata,MICRO EMPRESA,143,1,1,1,1,142,0.6993,0.6993,0.6993,142,142,142
Boca da Mata,PEQUENO PORTE,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
Branquinha,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Branquinha,MICRO EMPRESA,20,0,0,0,0,20,0.0,0.0,0.0,20,20,20
Cacimbinhas,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Cacimbinhas,MICRO EMPRESA,35,1,0,0,1,34,2.8571,0.0,2.8571,34,35,34
Cacimbinhas,PEQUENO PORTE,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
Cajueiro,DEMAIS,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Cajueiro,MICRO EMPRESA,84,0,1,0,1,83,0.0,1.1905,1.1905,84,83,83
Cajueiro,PEQUENO PORTE,3,1,0,0,1,2,33.3333,0.0,33.3333,2,3,2
Campestre,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Campestre,MICRO EMPRESA,26,0,0,0,0,26,0.0,0.0,0.0,26,26,26
Campestre,PEQUENO PORTE,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Campo Alegre,DEMAIS,11,1,0,0,1,10,9.0909,0.0,9.0909,10,11,10
Campo Alegre,MICRO EMPRESA,265,1,0,0,1,264,0.3774,0.0,0.3774,264,265,264
Campo Alegre,PEQUENO PORTE,11,0,1,0,1,10,0.0,9.0909,9.0909,11,10,10
Campo Grande,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Campo Grande,MICRO EMPRESA,27,0,0,0,0,27,0.0,0.0,0.0,27,27,27
Campo Grande,PEQUENO PORTE,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Canapi,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Canapi,MICRO EMPRESA,16,0,0,0,0,16,0.0,0.0,0.0,16,16,16
Capela,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Capela,MICRO EMPRESA,83,1,0,0,1,82,1.2048,0.0,1.2048,82,83,82
Capela,PEQUENO PORTE,7,0,1,0,1,6,0.0,14.2857,14.2857,7,6,6
Carneiros,DEMAIS,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Carneiros,MICRO EMPRESA,20,0,0,0,0,20,0.0,0.0,0.0,20,20,20
