Municipio,CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Anadia,Atividades do correio nacional,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Coleta de residuos nao perigosos,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Construcao de edificios,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Anadia,"Fabricacao de acessorios do vestuario, exceto para seguranca e protecao",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Fabricacao de aguas envasadas,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
Anadia,Fabricacao de alimentos para animais,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Fabricacao de artefatos de couro nao especificados anteriormente,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Fabricacao de artefatos de material plastico para usos industriais,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,"Fabricacao de artefatos diversos de madeira, exceto moveis",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,"Fabricacao de artigos de serralheria, exceto esquadrias",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,"Fabricacao de artigos do vestuario, produzidos em malharias e tricotagens, exceto meias",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Fabricacao de conservas de frutas,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
Anadia,Fabricacao de gelo comum,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,Fabricacao de moveis com predominancia de madeira,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,"Fabricacao de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,Fabricacao de outros produtos alimenticios nao especificados anteriormente,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Anadia,Fabricacao de produtos de panificacao industrial,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Fabricacao de produtos diversos nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,Fornecimento de alimentos preparados preponderantemente para empresas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Geracao de energia eletrica,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Impressao de material para outros usos,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Instalacao de paineis publicitarios,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,"Instalacao e manutencao de sistemas centrais de ar condicionado, de ventilacao e refrigeracao",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,Instalacao e manutencao eletrica,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Anadia,"Instalacoes hidraulicas, sanitarias e de gas",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Manutencao e reparacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Manutencao e reparacao de motocicletas e motonetas,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,Obras de alvenaria,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Anadia,Provedores de acesso as redes de comunicacoes,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,Servicos de borracharia para veiculos automotores,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Servicos de comunicacao multimidia - scm,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Anadia,Servicos de engenharia,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Servicos de manutencao e reparacao mecanica de veiculos automotores,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Anadia,Servicos de montagem de moveis de qualquer material,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Anadia,Transmissao de energia eletrica,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Arapiraca,Abate de aves,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Arapiraca,Abate de pequenos animais,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Arapiraca,Acabamento de calcados de couro sob contrato,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Arapiraca,Administracao de obras,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Arapiraca,Aluguel de andaimes,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Arapiraca,"Aparelhamento de pedras para construcao, exceto associado a extracao",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Arapiraca,"Aparelhamento de placas e execucao de trabalhos em marmore, granito, ardosia e outras pedras",27,1,1,1,1,26,3.7037,3.7037,3.7037,26,26,26
Arapiraca,Aplicacao de revestimentos e de resinas em interiores e exteriores,10,0,0,0,0,10,0.0,0.0,0.0,10,10,10
Arapiraca,Atividades de franqueadas do correio nacional,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Arapiraca,Atividades do correio nacional,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Arapiraca,"Atividades relacionadas a esgoto, exceto a gestao de redes",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Arapiraca,Beneficiamento de arroz,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
