Porte,CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
DEMAIS,Administracao de obras,6,0,1,0,1,5,0.0,16.6667,16.6667,6,5,5
DEMAIS,Atividades de apoio a extracao de minerais metalicos nao ferrosos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Atividades de apoio a extracao de minerais nao metalicos,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Atividades de apoio a extracao de petroleo e gas natural,9,1,1,0,2,7,11.1111,11.1111,22.2222,8,8,7
DEMAIS,Atividades de coordenacao e controle da operacao da geracao e transmissao de energia eletrica,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Atividades do correio nacional,122,0,0,0,0,122,0.0,0.0,0.0,122,122,122
DEMAIS,"Atividades relacionadas a esgoto, exceto a gestao de redes",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Beneficiamento de arroz,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
DEMAIS,"Captacao, tratamento e distribuicao de agua",32,4,4,3,5,27,12.5,12.5,15.625,28,28,27
DEMAIS,Coleta de residuos nao perigosos,34,3,0,0,3,31,8.8235,0.0,8.8235,31,34,31
DEMAIS,Coleta de residuos perigosos,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Comercio atacadista de energia eletrica,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
DEMAIS,"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Confeccao de roupas intimas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Confeccao de roupas profissionais, exceto sob medida",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Confeccao, sob medida, de pecas do vestuario, exceto roupas intimas",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,"Confeccao, sob medida, de roupas profissionais",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Construcao de barragens e represas para geracao de energia eletrica,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Construcao de edificios,470,24,38,10,52,418,5.1064,8.0851,11.0638,446,432,418
DEMAIS,Construcao de embarcacoes de grande porte,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Construcao de embarcacoes para esporte e lazer,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Construcao de estacoes e redes de distribuicao de energia eletrica,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
DEMAIS,Construcao de estacoes e redes de telecomunicacoes,4,2,0,0,2,2,50.0,0.0,50.0,2,4,2
DEMAIS,Construcao de instalacoes esportivas e recreativas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Construcao de obras de arte especiais,5,0,1,0,1,4,0.0,20.0,20.0,5,4,4
DEMAIS,"Construcao de redes de abastecimento de agua, coleta de esgoto e construcoes correlatas, exceto obras de irrigacao",14,0,2,0,2,12,0.0,14.2857,14.2857,14,12,12
DEMAIS,"Construcao de redes de transportes por dutos, exceto para agua e esgoto",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Construcao de rodovias e ferrovias,63,0,8,0,8,55,0.0,12.6984,12.6984,63,55,55
DEMAIS,Demolicao de edificios e outras estruturas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Desenvolvimento e licenciamento de programas de computador nao customizaveis,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Distribuicao de combustiveis gasosos por redes urbanas,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Distribuicao de energia eletrica,26,0,1,0,1,25,0.0,3.8462,3.8462,26,25,25
DEMAIS,"Extracao de areia, cascalho ou pedregulho e beneficiamento associado",14,0,0,0,0,14,0.0,0.0,0.0,14,14,14
DEMAIS,Extracao de argila e beneficiamento associado,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
DEMAIS,Extracao de calcario e dolomita e beneficiamento associado,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Extracao de granito e beneficiamento associado,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
DEMAIS,Extracao de madeira em florestas plantadas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Extracao de minerais para fabricacao de adubos, fertilizantes e outros produtos quimicos",3,3,0,0,3,0,100.0,0.0,100.0,0,3,0
DEMAIS,Extracao de minerio de metais preciosos,2,1,1,1,1,1,50.0,50.0,50.0,1,1,1
DEMAIS,Extracao de petroleo e gas natural,5,2,0,0,2,3,40.0,0.0,40.0,3,5,3
DEMAIS,Extracao de sal gema,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,Extracao e britamento de pedras e outros materiais para construcao e beneficiamento associado,11,2,3,1,4,7,18.1818,27.2727,36.3636,9,8,7
DEMAIS,"Fabricacao de acessorios do vestuario, exceto para seguranca e protecao",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de acucar em bruto,55,7,4,2,9,46,12.7273,7.2727,16.3636,48,51,46
DEMAIS,Fabricacao de aditivos de uso industrial,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,Fabricacao de adubos e fertilizantes organominerais,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de adubos e fertilizantes, exceto organominerais",9,2,0,0,2,7,22.2222,0.0,22.2222,7,9,7
DEMAIS,Fabricacao de aguardente de cana de acucar,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Fabricacao de aguas envasadas,10,3,0,0,3,7,30.0,0.0,30.0,7,10,7
DEMAIS,Fabricacao de alcool,8,1,0,0,1,7,12.5,0.0,12.5,7,8,7
DEMAIS,Fabricacao de alimentos e pratos prontos,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de alimentos para animais,16,2,0,0,2,14,12.5,0.0,12.5,14,16,14
DEMAIS,"Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de aparelhos e equipamentos de medida, teste e controle",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de aparelhos e equipamentos para distribuicao e controle de energia eletrica,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de aparelhos e utensilios para correcao de defeitos fisicos e aparelhos ortopedicos em geral sob encomenda,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Fabricacao de artefatos de cimento para uso na construcao,3,1,1,1,1,2,33.3333,33.3333,33.3333,2,2,2
DEMAIS,Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente,11,3,2,1,4,7,27.2727,18.1818,36.3636,8,9,7
DEMAIS,"Fabricacao de artefatos de material plastico para uso na construcao, exceto tubos e acessorios",8,2,2,2,2,6,25.0,25.0,25.0,6,6,6
DEMAIS,Fabricacao de artefatos de material plastico para uso pessoal e domestico,8,7,3,3,7,1,87.5,37.5,87.5,1,5,1
DEMAIS,Fabricacao de artefatos de material plastico para usos industriais,6,1,0,0,1,5,16.6667,0.0,16.6667,5,6,5
DEMAIS,Fabricacao de artefatos de tanoaria e de embalagens de madeira,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de artefatos de tapecaria,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de artefatos diversos de madeira, exceto moveis",3,1,1,1,1,2,33.3333,33.3333,33.3333,2,2,2
DEMAIS,Fabricacao de artefatos texteis para uso domestico,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de artigos de metal para uso domestico e pessoal,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de artigos de serralheria, exceto esquadrias",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
