CNPJ_NORMALIZADO,razao_social,Municipio,Porte,CNAE PRIMARIO,TEM_SESI,TEM_SENAI,STATUS_COMERCIAL,OPORTUNIDADE_CROSS_SELL
24515392000190,A R LOPES QUINTINO LTDA,Arapiraca,DEMAIS,Construcao de edificios,0,1,SOMENTE SENAI,SENAI → SESI
21652038000119,AZEVEDO SOARES IND. E COM. DE ARGAMASSA LTDA,Arapiraca,DEMAIS,Preparacao de massa de concreto e argamassa para construcao,0,1,SOMENTE SENAI,SENAI → SESI
43354807000135,IMAGINE CRIATIVE LTDA,Arapiraca,MICRO EMPRESA,Impressao de material para uso publicitario,0,1,SOMENTE SENAI,SENAI → SESI
26479090000139,INDUSTRIA DE ALIMENTOS COMPOSTELA LTDA,Arapiraca,DEMAIS,Fabricacao de conservas de frutas,0,1,SOMENTE SENAI,SENAI → SESI
874154000102,M A FERREIRA VEIGA,Arapiraca,MICRO EMPRESA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,0,1,SOMENTE SENAI,SENAI → SESI
50058390000129,MAGIC BERRY INDUSTRIA DE GELADOS COMESTIVEIS LTDA,Arapiraca,MICRO EMPRESA,Fabricacao de sorvetes e outros gelados comestiveis,0,1,SOMENTE SENAI,SENAI → SESI
51605820000148,PANFACILE ALIMENTOS LTDA,Arapiraca,MICRO EMPRESA,Fabricacao de produtos de panificacao industrial,0,1,SOMENTE SENAI,SENAI → SESI
13059313000167,RM INDUSTRIA E COMERCIO LTDA,Arapiraca,PEQUENO PORTE,"Fabricacao de estruturas pre moldadas de concreto armado, em serie e sob encomenda",0,1,SOMENTE SENAI,SENAI → SESI
10702260000162,ROTAN PRE MOLDADOS E CONSTRUCOES LTDA,Arapiraca,MICRO EMPRESA,"Obras de urbanizacao - ruas, pracas e calcadas",0,1,SOMENTE SENAI,SENAI → SESI
23399809000133,S. A. DE SOUZA DIRECOES HIDRAULICAS,Arapiraca,MICRO EMPRESA,"Manutencao e reparacao de equipamentos hidraulicos e pneumaticos, exceto valvulas",0,1,SOMENTE SENAI,SENAI → SESI
31749329000426,SALES E BARBOSA LTDA,Arapiraca,PEQUENO PORTE,Fabricacao de moveis com predominancia de madeira,0,1,SOMENTE SENAI,SENAI → SESI
290431000130,SERVICOS E PECAS DIESEL ARAPIRACA LTDA,Arapiraca,MICRO EMPRESA,Servicos de manutencao e reparacao mecanica de veiculos automotores,0,1,SOMENTE SENAI,SENAI → SESI
